Title,Date
"Cheers: Season 11: Loathe and Marriage","2/26/18"
"Cheers: Season 11: It's a Mad, Mad, Mad Bar","2/26/18"
"Cheers: Season 11: Norm's Big Audit (aka Romancing the Crone)","2/26/18"
"Archer: Season 2: Pipeline Fever","2/26/18"
"Archer: Season 2: Blood Test","2/26/18"
"Cheers: Season 11: Sunday Dinner","2/26/18"
"Archer: Season 2: A Going Concern","2/25/18"
"Archer: Season 2: Swiss Miss","2/25/18"
"Archer: Season 1: Dial M for Mother","2/25/18"
"Archer: Season 1: Job Offer","2/25/18"
"Cheers: Season 11: Love Me, Love My Car","2/25/18"
"Cheers: Season 11: Daddy's Little Middle Aged Girl","2/25/18"
"Cheers: Season 11: Feelings ... Whoa, Whoa, Whoa","2/25/18"
"Cheers: Season 11: Ill Gotten Gaines","2/25/18"
"Cheers: Season 11: The Girl in the Plastic Bubble","2/25/18"
"Cheers: Season 11: Teaching with the Enemy","2/24/18"
"Cheers: Season 11: Do Not Forsake Me o' My Postman","2/24/18"
"Cheers: Season 11: The Magnificent Six","2/22/18"
"Cheers: Season 11: The King of Beers","2/22/18"
"Cheers: Season 11: The Beer Is Always Greener","2/21/18"
"Cheers: Season 11: Little Match Girl","2/21/18"
"Cheers: Season 10: An Old-Fashioned Wedding: Part 2","2/21/18"
"Cheers: Season 10: An Old-Fashioned Wedding: Part 1","2/21/18"
"Cheers: Season 10: Heeeeere's Cliffy!","2/21/18"
"Cheers: Season 10: Bar Wars VI: This Time It's for Real","2/21/18"
"Cheers: Season 10: Rebecca's Lover ... Not","2/20/18"
"Cheers: Season 10: Take Me out of the Ball Game","2/20/18"
"Cheers: Season 10: Smotherly Love","2/19/18"
"Cheers: Season 10: Rich Man, Wood Man","2/19/18"
"Cheers: Season 10: License to Hill","2/19/18"
"Cheers: Season 10: A Diminished Rebecca with a Suspended Cliff","2/19/18"
"Cheers: Season 10: One Hugs, the Other Doesn't","2/19/18"
"Cheers: Season 10: My Son, the Father","2/18/18"
"Cheers: Season 10: No Rest for the Woody","2/16/18"
"Cheers: Season 10: Don't Shoot, I'm the Psychiatrist","2/16/18"
"Cheers: Season 10: Go Make","2/15/18"
"Cheers: Season 10: I'm OK, You're Defective","2/15/18"
"Cheers: Season 10: A Fine French Whine","2/15/18"
"Altered Carbon: Season 1: The Killers","2/13/18"
"Cheers: Season 10: Head over Hill","2/13/18"
"Altered Carbon: Season 1: Rage in Heaven","2/12/18"
"Altered Carbon: Season 1: Clash by Night","2/12/18"
"Altered Carbon: Season 1: Nora Inu","2/12/18"
"Cheers: Season 10: Where Have All the Floorboards Gone?","2/12/18"
"Cheers: Season 10: Bar Wars V: The Final Judgment","2/12/18"
"Altered Carbon: Season 1: Man with My Face","2/11/18"
"Altered Carbon: Season 1: The Wrong Man","2/11/18"
"Jerry Seinfeld: I'm Telling You for the Last Time","2/10/18"
"Altered Carbon: Season 1: Force of Evil","2/8/18"
"Altered Carbon: Season 1: In a Lonely Place","2/8/18"
"Cheers: Season 10: Unplanned Parenthood","2/8/18"
"Altered Carbon: Season 1: Fallen Angel","2/7/18"
"Altered Carbon: Season 1: Out of the Past","2/7/18"
"Cheers: Season 10: Ma's Little Maggie","2/6/18"
"Cheers: Season 10: The Norm Who Came to Dinner","2/5/18"
"Cheers: Season 10: Madame LaCarla","2/5/18"
"Cheers: Season 10: Get Your Kicks on Route 666","2/5/18"
"Cheers: Season 10: Baby Balk","2/4/18"
"Cheers: Season 9: Anniversary Show: Part 2","2/4/18"
"Cheers: Season 9: Anniversary Show: Part 1","2/4/18"
"Cheers: Season 9: Uncle Sam Wants You (aka Elvis Ex Machina)","2/4/18"
"Cheers: Season 9: Home Malone","2/3/18"
"Cheers: Season 9: Rat Girl","2/2/18"
"Cheers: Season 9: Pitch It Again, Sam","2/2/18"
"Cheers: Season 9: Carla Loves Clavin","2/2/18"
"Cheers: Season 9: Cheers Has Chili","2/2/18"
"Cheers: Season 9: It's a Wonderful Wife","2/2/18"
"Cheers: Season 9: Crash of the Titans","1/31/18"
"Cheers: Season 9: Sam Time Next Year","1/31/18"
"Cheers: Season 9: I'm Getting My Act Together and Sticking It in Your Face","1/31/18"
"Cheers: Season 9: Wedding Bell Blues","1/31/18"
"Cheers: Season 9: Days of Wine and Neuroses","1/31/18"
"Cheers: Season 9: Achilles Hill","1/31/18"
"Cheers: Season 9: Honor Thy Mother","1/31/18"
"Cheers: Season 9: Woody Interruptus","1/30/18"
"Cheers: Season 9: Norm and Cliff's Excellent Adventure","1/29/18"
"Cheers: Season 9: Veggie Boyd","1/29/18"
"Cheers: Season 9: Bad Neighbor Sam (aka I Hate Leases to Pieces)","1/29/18"
"Cheers: Season 9: Breaking in Is Hard to Do","1/29/18"
"Cheers: Season 9: Grease","1/28/18"
"Cheers: Season 9: Ma Always Liked You Best","1/28/18"
"Cheers: Season 9: Where Nobody Knows Your Name","1/28/18"
"Cheers: Season 9: Rebecca Redux","1/28/18"
"Cheers: Season 9: Cheers Fouls Out","1/27/18"
"Cheers: Season 9: Love Is a Really, Really Perfectly Okay Thing","1/27/18"
"Archer: Season 1: The Rock","1/26/18"
"Archer: Season 1: Killing Utne","1/26/18"
"BoJack Horseman: Season 1: BoJack Hates the Troops","1/26/18"
"BoJack Horseman: Season 1: BoJack Horseman: The BoJack Horseman Story, Chapter One","1/26/18"
"Cheers: Season 8: Cry Harder","1/26/18"
"Cheers: Season 8: Cry Hard","1/26/18"
"Cheers: Season 8: Mr. Otis Regrets","1/25/18"
"Cheers: Season 8: The Ghost and Mrs. Lebec","1/25/18"
"Cheers: Season 8: Loverboyd","1/25/18"
"Cheers: Season 8: Bar Wars III: The Return of Tecumseh","1/25/18"
"Cheers: Season 8: Fifty-Fifty Carla","1/25/18"
"Cheers: Season 8: Indoor Fun with Sammy and Robby","1/25/18"
"Cheers: Season 8: Severe Crane Damage","1/24/18"
"Cheers: Season 8: Woody or Won't He","1/24/18"
"Cheers: Season 8: Finally!: Part 2","1/24/18"
"Cheers: Season 8: Finally!: Part 1","1/23/18"
"Cheers: Season 8: What Is Cliff Clavin?","1/23/18"
"Cheers: Season 8: Sammy and the Professor","1/22/18"
"Cheers: Season 8: Sam Ahoy","1/22/18"
"Cheers: Season 8: Feeble Attraction","1/22/18"
"Cheers: Season 8: The Art of the Steal","1/21/18"
"Training Day","1/19/18"
"The Magicians: Season 2: We Have Brought You Little Cakes","1/19/18"
"The Magicians: Season 2: Ramifications","1/18/18"
"The Magicians: Season 2: The Rattening","1/18/18"
"The Magicians: Season 2: The Girl Who Told Time","1/18/18"
"Cheers: Season 8: Two Girls for Every Boyd","1/18/18"
"The Magicians: Season 2: Lesser Evils","1/17/18"
"The Magicians: Season 2: Word as Bond","1/17/18"
"The Magicians: Season 2: Plan B","1/17/18"
"The Magicians: Season 2: The Cock Barrens","1/17/18"
"Cheers: Season 8: For Real Men Only","1/17/18"
"The Magicians: Season 2: Cheat Day","1/16/18"
"The Magicians: Season 2: The Flying Forest","1/16/18"
"Cheers: Season 8: Death Takes A Holiday on Ice","1/16/18"
"Cheers: Season 8: The Stork Brings a Crane","1/16/18"
